hotel	city	location	zone	star	mgrgroup	brand	openyear	roomquantity	ratingoverall	ratingroom	ratingatmosphere	ratingservice	ratingcostbenefit	fromrailway	fromairport	fromcitycenter	fromrailway2	fromairport2	fromcitycenter2	lat	lon	diy_breakfast	west_breakfast	chi_breakfast
57411	2	121	369	2	0	0	2011-04-01	125	3.9182	3.9673	4.0455	3.9455	3.7145	NULL	NULL	NULL	6.0	6.0	6.0	NULL	NULL	NULL	NULL	NULL
57418	2	113	7	2	291	50	2007-12-01	130	4.3176	4.4083	4.3716	4.3105	4.1801	NULL	NULL	NULL	1.0	1.0	1.0	NULL	NULL	NULL	NULL	NULL
57558	2	122	4	2	5	48	2008-06-01	116	4.1228	4.144	4.2368	4.1648	3.9456	NULL	NULL	NULL	NULL	NULL	NULL	31.187946319580078	121.40424346923828	NULL	NULL	NULL
60750	2	114	762	4	353	345	2008-09-01	260	4.4116	4.4362	4.6038	4.3558	4.2507	NULL	NULL	NULL	0.5	0.5	0.5	NULL	NULL	NULL	NULL	NULL
60757	2	112	16	4	0	0	2008-01-01	22	4.3397	4.405	4.737	4.1248	4.0921	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	139	139
61156	2	113	990	2	0	0	2008-07-01	70	3.9852	3.9829	4.1715	3.9707	3.8154	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
61527	2	113	363	4	0	0	2008-09-01	153	4.3059	4.5447	4.1724	4.2808	4.2259	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
62584	2	118	19	3	319	757	2008-01-01	89	4.1574	4.2219	4.1938	4.1657	4.0483	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
63060	2	122	687	2	291	50	2008-08-01	92	3.9395	4.0108	3.9374	3.9827	3.8272	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
63074	2	118	19	2	3	44	2008-01-01	101	4.2477	4.3094	4.1727	4.3258	4.1829	NULL	NULL	NULL	NULL	NULL	NULL	31.26272964477539	121.47312927246094	NULL	NULL	NULL
63207	2	113	987	2	5	48	2008-12-01	110	4.0225	4.0967	4.0505	4.0901	3.8527	NULL	NULL	NULL	NULL	NULL	NULL	31.186803817749023	121.4284439086914	NULL	NULL	NULL
